Algorithm,Iteration,TotalConstraintViolations
AntColonyAlg,0,52
AntColonyAlg,1,52
AntColonyAlg,2,52
AntColonyAlg,3,51
AntColonyAlg,4,51
AntColonyAlg,5,51
AntColonyAlg,6,51
AntColonyAlg,7,51
AntColonyAlg,8,51
AntColonyAlg,9,51
AntColonyAlg,10,51
AntColonyAlg,11,51
AntColonyAlg,12,51
AntColonyAlg,13,51
AntColonyAlg,14,51
AntColonyAlg,15,51
AntColonyAlg,16,51
AntColonyAlg,17,51
AntColonyAlg,18,51
AntColonyAlg,19,47
AntColonyAlg,20,47
AntColonyAlg,21,47
AntColonyAlg,22,47
AntColonyAlg,23,47
AntColonyAlg,24,47
AntColonyAlg,25,47
AntColonyAlg,26,47
AntColonyAlg,27,47
AntColonyAlg,28,47
AntColonyAlg,29,47
AntColonyAlg,30,47
AntColonyAlg,31,47
AntColonyAlg,32,47
AntColonyAlg,33,47
AntColonyAlg,34,47
AntColonyAlg,35,47
AntColonyAlg,36,47
AntColonyAlg,37,47
AntColonyAlg,38,47
AntColonyAlg,39,47
AntColonyAlg,40,47
AntColonyAlg,41,47
AntColonyAlg,42,47
AntColonyAlg,43,47
AntColonyAlg,44,47
AntColonyAlg,45,47
AntColonyAlg,46,47
AntColonyAlg,47,47
AntColonyAlg,48,47
AntColonyAlg,49,47
AntColonyAlg,50,47
AntColonyAlg,51,47
AntColonyAlg,52,47
AntColonyAlg,53,47
AntColonyAlg,54,47
AntColonyAlg,55,47
AntColonyAlg,56,47
AntColonyAlg,57,47
AntColonyAlg,58,47
AntColonyAlg,59,47
AntColonyAlg,60,47
AntColonyAlg,61,47
AntColonyAlg,62,47
AntColonyAlg,63,47
AntColonyAlg,64,47
AntColonyAlg,65,47
AntColonyAlg,66,47
AntColonyAlg,67,47
AntColonyAlg,68,47
AntColonyAlg,69,47
AntColonyAlg,70,47
AntColonyAlg,71,47
AntColonyAlg,72,47
AntColonyAlg,73,47
AntColonyAlg,74,47
AntColonyAlg,75,47
AntColonyAlg,76,47
AntColonyAlg,77,47
AntColonyAlg,78,47
AntColonyAlg,79,47
AntColonyAlg,80,47
AntColonyAlg,81,47
AntColonyAlg,82,47
AntColonyAlg,83,47
AntColonyAlg,84,47
AntColonyAlg,85,47
AntColonyAlg,86,47
AntColonyAlg,87,47
AntColonyAlg,88,47
AntColonyAlg,89,47
AntColonyAlg,90,47
AntColonyAlg,91,47
AntColonyAlg,92,47
AntColonyAlg,93,47
AntColonyAlg,94,47
AntColonyAlg,95,47
AntColonyAlg,96,47
AntColonyAlg,97,47
AntColonyAlg,98,47
AntColonyAlg,99,47
