Algorithm,Iteration,TotalConstraintViolations
GeneticAlg,0,65
GeneticAlg,1,62
GeneticAlg,2,62
GeneticAlg,3,56
GeneticAlg,4,55
GeneticAlg,5,55
GeneticAlg,6,54
GeneticAlg,7,53
GeneticAlg,8,52
GeneticAlg,9,51
GeneticAlg,10,51
GeneticAlg,11,51
GeneticAlg,12,51
GeneticAlg,13,51
GeneticAlg,14,51
GeneticAlg,15,51
GeneticAlg,16,51
GeneticAlg,17,51
GeneticAlg,18,51
GeneticAlg,19,51
GeneticAlg,20,51
GeneticAlg,21,51
GeneticAlg,22,51
GeneticAlg,23,51
GeneticAlg,24,51
GeneticAlg,25,51
GeneticAlg,26,51
GeneticAlg,27,51
GeneticAlg,28,51
GeneticAlg,29,51
GeneticAlg,30,51
GeneticAlg,31,51
GeneticAlg,32,51
GeneticAlg,33,51
GeneticAlg,34,51
GeneticAlg,35,51
GeneticAlg,36,51
GeneticAlg,37,51
GeneticAlg,38,51
GeneticAlg,39,51
GeneticAlg,40,51
GeneticAlg,41,51
GeneticAlg,42,51
GeneticAlg,43,51
GeneticAlg,44,51
GeneticAlg,45,51
GeneticAlg,46,51
GeneticAlg,47,51
GeneticAlg,48,51
GeneticAlg,49,51
GeneticAlg,50,51
GeneticAlg,51,51
GeneticAlg,52,51
GeneticAlg,53,51
GeneticAlg,54,51
GeneticAlg,55,51
GeneticAlg,56,51
GeneticAlg,57,51
GeneticAlg,58,51
GeneticAlg,59,51
GeneticAlg,60,51
GeneticAlg,61,51
GeneticAlg,62,51
GeneticAlg,63,51
GeneticAlg,64,51
GeneticAlg,65,51
GeneticAlg,66,51
GeneticAlg,67,51
GeneticAlg,68,51
GeneticAlg,69,51
GeneticAlg,70,51
GeneticAlg,71,51
GeneticAlg,72,51
GeneticAlg,73,51
GeneticAlg,74,51
GeneticAlg,75,51
GeneticAlg,76,51
GeneticAlg,77,51
GeneticAlg,78,51
GeneticAlg,79,51
GeneticAlg,80,51
GeneticAlg,81,51
GeneticAlg,82,51
GeneticAlg,83,51
GeneticAlg,84,51
GeneticAlg,85,51
GeneticAlg,86,51
GeneticAlg,87,51
GeneticAlg,88,51
GeneticAlg,89,51
GeneticAlg,90,51
GeneticAlg,91,51
GeneticAlg,92,51
GeneticAlg,93,51
GeneticAlg,94,51
GeneticAlg,95,51
GeneticAlg,96,51
GeneticAlg,97,51
GeneticAlg,98,51
GeneticAlg,99,51
