Algorithm,Iteration,costValue
GeneticAlg,0,15.80
GeneticAlg,1,15.00
GeneticAlg,2,14.40
GeneticAlg,3,14.20
GeneticAlg,4,13.80
GeneticAlg,5,13.60
GeneticAlg,6,13.60
GeneticAlg,7,13.40
GeneticAlg,8,13.00
GeneticAlg,9,13.00
GeneticAlg,10,12.80
GeneticAlg,11,12.80
GeneticAlg,12,12.60
GeneticAlg,13,12.60
GeneticAlg,14,12.60
GeneticAlg,15,12.60
GeneticAlg,16,12.60
GeneticAlg,17,12.60
GeneticAlg,18,12.60
GeneticAlg,19,12.60
GeneticAlg,20,12.60
GeneticAlg,21,12.60
GeneticAlg,22,12.60
GeneticAlg,23,12.60
GeneticAlg,24,12.60
GeneticAlg,25,12.60
GeneticAlg,26,12.60
GeneticAlg,27,12.60
GeneticAlg,28,12.60
GeneticAlg,29,12.60
GeneticAlg,30,12.60
GeneticAlg,31,12.60
GeneticAlg,32,12.60
GeneticAlg,33,12.60
GeneticAlg,34,12.60
GeneticAlg,35,12.60
GeneticAlg,36,12.60
GeneticAlg,37,12.60
GeneticAlg,38,12.60
GeneticAlg,39,12.60
GeneticAlg,40,12.60
GeneticAlg,41,12.60
GeneticAlg,42,12.60
GeneticAlg,43,12.60
GeneticAlg,44,12.60
GeneticAlg,45,12.60
GeneticAlg,46,12.60
GeneticAlg,47,12.60
GeneticAlg,48,12.60
GeneticAlg,49,12.60
GeneticAlg,50,12.60
GeneticAlg,51,12.60
GeneticAlg,52,12.60
GeneticAlg,53,12.60
GeneticAlg,54,12.60
GeneticAlg,55,12.60
GeneticAlg,56,12.60
GeneticAlg,57,12.60
GeneticAlg,58,12.60
GeneticAlg,59,12.60
GeneticAlg,60,12.60
GeneticAlg,61,12.60
GeneticAlg,62,12.60
GeneticAlg,63,12.60
GeneticAlg,64,12.60
GeneticAlg,65,12.60
GeneticAlg,66,12.60
GeneticAlg,67,12.60
GeneticAlg,68,12.60
GeneticAlg,69,12.60
GeneticAlg,70,12.60
GeneticAlg,71,12.60
GeneticAlg,72,12.60
GeneticAlg,73,12.60
GeneticAlg,74,12.60
GeneticAlg,75,12.60
GeneticAlg,76,12.60
GeneticAlg,77,12.60
GeneticAlg,78,12.60
GeneticAlg,79,12.60
GeneticAlg,80,12.60
GeneticAlg,81,12.60
GeneticAlg,82,12.60
GeneticAlg,83,12.60
GeneticAlg,84,12.60
GeneticAlg,85,12.60
GeneticAlg,86,12.60
GeneticAlg,87,12.60
GeneticAlg,88,12.60
GeneticAlg,89,12.60
GeneticAlg,90,12.60
GeneticAlg,91,12.60
GeneticAlg,92,12.60
GeneticAlg,93,12.60
GeneticAlg,94,12.60
GeneticAlg,95,12.60
GeneticAlg,96,12.60
GeneticAlg,97,12.60
GeneticAlg,98,12.60
GeneticAlg,99,12.60
GeneticAlg,0,15.60
GeneticAlg,1,15.40
GeneticAlg,2,14.20
GeneticAlg,3,14.00
