Algorithm,Iteration,TotalConstraintViolations
GeneticAlg,0,64
GeneticAlg,1,62
GeneticAlg,2,60
GeneticAlg,3,59
GeneticAlg,4,56
GeneticAlg,5,53
GeneticAlg,6,53
GeneticAlg,7,52
GeneticAlg,8,51
GeneticAlg,9,49
GeneticAlg,10,49
GeneticAlg,11,49
GeneticAlg,12,48
GeneticAlg,13,47
GeneticAlg,14,47
GeneticAlg,15,47
GeneticAlg,16,46
GeneticAlg,17,46
GeneticAlg,18,46
GeneticAlg,19,46
GeneticAlg,20,46
GeneticAlg,21,46
GeneticAlg,22,46
GeneticAlg,23,46
GeneticAlg,24,46
GeneticAlg,25,46
GeneticAlg,26,46
GeneticAlg,27,46
GeneticAlg,28,46
GeneticAlg,29,46
GeneticAlg,30,46
GeneticAlg,31,46
GeneticAlg,32,46
GeneticAlg,33,46
GeneticAlg,34,46
GeneticAlg,35,46
GeneticAlg,36,46
GeneticAlg,37,46
GeneticAlg,38,46
GeneticAlg,39,46
GeneticAlg,40,46
GeneticAlg,41,46
GeneticAlg,42,46
GeneticAlg,43,46
GeneticAlg,44,46
GeneticAlg,45,46
GeneticAlg,46,46
GeneticAlg,47,46
GeneticAlg,48,46
GeneticAlg,49,46
GeneticAlg,50,46
GeneticAlg,51,46
GeneticAlg,52,46
GeneticAlg,53,46
GeneticAlg,54,46
GeneticAlg,55,46
GeneticAlg,56,46
GeneticAlg,57,46
GeneticAlg,58,46
GeneticAlg,59,46
GeneticAlg,60,46
GeneticAlg,61,46
GeneticAlg,62,46
GeneticAlg,63,46
GeneticAlg,64,46
GeneticAlg,65,46
GeneticAlg,66,46
GeneticAlg,67,46
GeneticAlg,68,46
GeneticAlg,69,46
GeneticAlg,70,46
GeneticAlg,71,46
GeneticAlg,72,46
GeneticAlg,73,46
GeneticAlg,74,46
GeneticAlg,75,46
GeneticAlg,76,46
GeneticAlg,77,46
GeneticAlg,78,46
GeneticAlg,79,46
GeneticAlg,80,46
GeneticAlg,81,46
GeneticAlg,82,46
GeneticAlg,83,46
GeneticAlg,84,46
GeneticAlg,85,46
GeneticAlg,86,46
GeneticAlg,87,46
GeneticAlg,88,46
GeneticAlg,89,46
GeneticAlg,90,46
GeneticAlg,91,46
GeneticAlg,92,46
GeneticAlg,93,46
GeneticAlg,94,46
GeneticAlg,95,46
GeneticAlg,96,46
GeneticAlg,97,46
GeneticAlg,98,46
GeneticAlg,99,46
