Algorithm,Iteration,costValue
AntColonyAlg,0,1013.40
AntColonyAlg,1,1013.40
AntColonyAlg,2,988.80
AntColonyAlg,3,988.80
AntColonyAlg,4,988.80
AntColonyAlg,5,988.80
AntColonyAlg,6,988.80
AntColonyAlg,7,988.80
AntColonyAlg,8,988.80
AntColonyAlg,9,988.80
AntColonyAlg,10,988.80
AntColonyAlg,11,988.80
AntColonyAlg,12,988.80
AntColonyAlg,13,976.80
AntColonyAlg,14,976.80
AntColonyAlg,15,976.80
AntColonyAlg,16,976.80
AntColonyAlg,17,976.80
AntColonyAlg,18,976.80
AntColonyAlg,19,976.80
AntColonyAlg,20,976.80
AntColonyAlg,21,976.80
AntColonyAlg,22,976.80
AntColonyAlg,23,976.80
AntColonyAlg,24,976.80
AntColonyAlg,25,976.80
AntColonyAlg,26,976.80
AntColonyAlg,27,976.80
AntColonyAlg,28,976.80
AntColonyAlg,29,976.80
AntColonyAlg,30,976.80
AntColonyAlg,31,976.80
AntColonyAlg,32,976.80
AntColonyAlg,33,976.80
AntColonyAlg,34,976.80
AntColonyAlg,35,976.80
AntColonyAlg,36,976.80
AntColonyAlg,37,976.80
AntColonyAlg,38,976.80
AntColonyAlg,39,976.80
AntColonyAlg,40,976.80
AntColonyAlg,41,976.80
AntColonyAlg,42,976.80
AntColonyAlg,43,976.80
AntColonyAlg,44,976.80
AntColonyAlg,45,976.80
AntColonyAlg,46,976.80
AntColonyAlg,47,976.80
AntColonyAlg,48,976.80
AntColonyAlg,49,976.80
AntColonyAlg,50,976.80
AntColonyAlg,51,976.80
AntColonyAlg,52,976.80
AntColonyAlg,53,963.40
AntColonyAlg,54,963.40
AntColonyAlg,55,963.40
AntColonyAlg,56,963.40
AntColonyAlg,57,963.40
AntColonyAlg,58,963.40
AntColonyAlg,59,963.40
AntColonyAlg,60,963.40
AntColonyAlg,61,963.40
AntColonyAlg,62,963.40
AntColonyAlg,63,963.40
AntColonyAlg,64,963.40
AntColonyAlg,65,963.40
AntColonyAlg,66,963.40
AntColonyAlg,67,963.40
AntColonyAlg,68,963.40
