Algorithm,Iteration,TotalConstraintViolations
GeneticAlg,0,1025
GeneticAlg,1,1025
GeneticAlg,2,1011
GeneticAlg,3,985
GeneticAlg,4,996
GeneticAlg,5,981
GeneticAlg,6,964
GeneticAlg,7,964
GeneticAlg,8,964
GeneticAlg,9,964
GeneticAlg,10,964
GeneticAlg,11,946
GeneticAlg,12,946
GeneticAlg,13,946
GeneticAlg,14,946
GeneticAlg,15,946
GeneticAlg,16,946
GeneticAlg,17,953
GeneticAlg,18,953
GeneticAlg,19,953
GeneticAlg,20,953
GeneticAlg,21,953
GeneticAlg,22,953
GeneticAlg,23,953
GeneticAlg,24,953
GeneticAlg,25,953
GeneticAlg,26,953
GeneticAlg,27,953
GeneticAlg,28,953
GeneticAlg,29,953
GeneticAlg,30,953
GeneticAlg,31,953
GeneticAlg,32,953
GeneticAlg,33,953
GeneticAlg,34,953
GeneticAlg,35,953
GeneticAlg,36,953
GeneticAlg,37,953
GeneticAlg,38,953
GeneticAlg,39,953
GeneticAlg,40,953
GeneticAlg,41,953
GeneticAlg,42,953
GeneticAlg,43,953
GeneticAlg,44,953
GeneticAlg,45,953
GeneticAlg,46,953
GeneticAlg,47,953
GeneticAlg,48,953
GeneticAlg,49,953
GeneticAlg,50,953
GeneticAlg,51,953
GeneticAlg,52,953
GeneticAlg,53,953
GeneticAlg,54,953
GeneticAlg,55,953
GeneticAlg,56,953
GeneticAlg,57,953
GeneticAlg,58,953
GeneticAlg,59,953
GeneticAlg,60,953
GeneticAlg,61,953
GeneticAlg,62,953
GeneticAlg,63,953
GeneticAlg,64,953
GeneticAlg,65,953
GeneticAlg,66,953
GeneticAlg,67,953
GeneticAlg,68,953
GeneticAlg,69,953
GeneticAlg,70,953
GeneticAlg,71,953
GeneticAlg,72,953
GeneticAlg,73,953
GeneticAlg,74,953
GeneticAlg,75,953
GeneticAlg,76,953
GeneticAlg,77,953
GeneticAlg,78,953
GeneticAlg,79,953
GeneticAlg,80,953
GeneticAlg,81,953
GeneticAlg,82,953
GeneticAlg,83,953
GeneticAlg,84,953
GeneticAlg,85,953
GeneticAlg,86,953
GeneticAlg,87,953
GeneticAlg,88,953
GeneticAlg,89,953
GeneticAlg,90,953
GeneticAlg,91,953
GeneticAlg,92,953
GeneticAlg,93,953
GeneticAlg,94,953
GeneticAlg,95,953
GeneticAlg,96,953
GeneticAlg,97,953
GeneticAlg,98,953
GeneticAlg,99,953
