Algorithm,Iterations,TotalTimeMs,AvgIterationTimeMs,UsedMemoryMb,AvgUsedMemoryPerIteration
AntColonyAlg,90,0.90,5066.29,50.66
GeneticAlg,259,2.59,6895.79,68.96
ParticleSwarmAlg,142,1.42,3957.32,39.57
AntColonyAlg,66,0.66,3633.86,36.34
GeneticAlg,207,2.07,5424.86,54.25
ParticleSwarmAlg,99,0.99,7875.36,78.75
AntColonyAlg,60,0.60,1677.18,16.77
GeneticAlg,218,2.18,2459.02,24.59
ParticleSwarmAlg,125,1.25,4911.02,49.11
AntColonyAlg,56,0.56,6091.52,60.92
GeneticAlg,197,1.97,3798.75,37.99
ParticleSwarmAlg,89,0.89,3174.19,31.74
AntColonyAlg,55,0.55,4365.19,43.65
GeneticAlg,195,1.95,6121.69,61.22
ParticleSwarmAlg,90,0.90,1605.26,16.05
AntColonyAlg,56,0.56,2500.97,25.01
GeneticAlg,223,2.23,4283.97,42.84
ParticleSwarmAlg,105,1.05,6738.97,67.39
AntColonyAlg,185,1.85,749.39,7.49
GeneticAlg,210,2.10,2513.39,25.13
ParticleSwarmAlg,90,0.90,4942.89,49.43
AntColonyAlg,56,0.56,6125.89,61.26
GeneticAlg,199,1.99,3798.95,37.99
ParticleSwarmAlg,90,0.90,3141.08,31.41
AntColonyAlg,56,0.56,4329.08,43.29
GeneticAlg,203,2.03,6139.08,61.39
ParticleSwarmAlg,92,0.92,1417.79,14.18
AntColonyAlg,55,0.55,2609.29,26.09
GeneticAlg,198,1.98,4389.79,43.90
ParticleSwarmAlg,93,0.93,6474.23,64.74
