Algorithm,Iteration,costValue
GeneticAlg,0,1.40
GeneticAlg,1,1.40
GeneticAlg,2,1.20
GeneticAlg,3,1.20
GeneticAlg,4,1.20
GeneticAlg,5,1.20
GeneticAlg,6,1.00
GeneticAlg,7,1.00
GeneticAlg,8,1.00
GeneticAlg,9,1.00
GeneticAlg,10,1.00
GeneticAlg,11,1.00
GeneticAlg,12,1.00
GeneticAlg,13,1.00
GeneticAlg,14,1.00
GeneticAlg,15,1.00
GeneticAlg,16,1.00
GeneticAlg,17,1.00
GeneticAlg,18,1.00
GeneticAlg,19,1.00
GeneticAlg,20,1.00
GeneticAlg,21,1.00
GeneticAlg,22,1.00
GeneticAlg,23,1.00
GeneticAlg,24,1.00
GeneticAlg,25,1.00
GeneticAlg,26,1.00
GeneticAlg,27,1.00
GeneticAlg,28,1.00
GeneticAlg,29,1.00
GeneticAlg,30,1.00
GeneticAlg,31,1.00
GeneticAlg,32,1.00
GeneticAlg,33,1.00
GeneticAlg,34,1.00
GeneticAlg,35,1.00
GeneticAlg,36,1.00
GeneticAlg,37,1.00
GeneticAlg,38,1.00
GeneticAlg,39,1.00
GeneticAlg,40,1.00
GeneticAlg,41,1.00
GeneticAlg,42,1.00
GeneticAlg,43,1.00
GeneticAlg,44,1.00
GeneticAlg,45,1.00
GeneticAlg,46,1.00
GeneticAlg,47,1.00
GeneticAlg,48,1.00
GeneticAlg,49,1.00
GeneticAlg,50,1.00
GeneticAlg,51,1.00
GeneticAlg,52,1.00
GeneticAlg,53,1.00
GeneticAlg,54,1.00
GeneticAlg,55,1.00
GeneticAlg,56,1.00
GeneticAlg,57,1.00
GeneticAlg,58,1.00
GeneticAlg,59,1.00
GeneticAlg,60,1.00
GeneticAlg,61,1.00
GeneticAlg,62,1.00
GeneticAlg,63,1.00
GeneticAlg,64,1.00
GeneticAlg,65,1.00
GeneticAlg,66,1.00
GeneticAlg,67,1.00
GeneticAlg,68,1.00
GeneticAlg,69,1.00
GeneticAlg,70,1.00
GeneticAlg,71,1.00
GeneticAlg,72,1.00
GeneticAlg,73,1.00
GeneticAlg,74,1.00
GeneticAlg,75,1.00
GeneticAlg,76,1.00
GeneticAlg,77,1.00
GeneticAlg,78,1.00
GeneticAlg,79,1.00
GeneticAlg,80,1.00
GeneticAlg,81,1.00
GeneticAlg,82,1.00
GeneticAlg,83,1.00
GeneticAlg,84,1.00
GeneticAlg,85,1.00
GeneticAlg,86,1.00
GeneticAlg,87,1.00
GeneticAlg,88,1.00
GeneticAlg,89,1.00
GeneticAlg,90,1.00
GeneticAlg,91,1.00
GeneticAlg,92,1.00
GeneticAlg,93,1.00
GeneticAlg,94,1.00
GeneticAlg,95,1.00
GeneticAlg,96,1.00
GeneticAlg,97,1.00
GeneticAlg,98,1.00
GeneticAlg,99,1.00
GeneticAlg,0,1.60
GeneticAlg,1,1.40
GeneticAlg,2,1.20
GeneticAlg,3,1.20
GeneticAlg,4,1.20
GeneticAlg,5,1.20
GeneticAlg,6,1.20
GeneticAlg,7,1.20
GeneticAlg,8,1.20
GeneticAlg,9,1.20
GeneticAlg,10,1.20
GeneticAlg,11,1.20
GeneticAlg,12,1.20
GeneticAlg,13,1.20
GeneticAlg,14,1.20
GeneticAlg,15,1.20
GeneticAlg,16,1.20
GeneticAlg,17,1.20
GeneticAlg,18,1.20
GeneticAlg,19,1.20
GeneticAlg,20,1.20
GeneticAlg,21,1.20
GeneticAlg,22,1.20
GeneticAlg,23,1.20
GeneticAlg,24,1.20
GeneticAlg,25,1.20
GeneticAlg,26,1.20
GeneticAlg,27,1.20
GeneticAlg,28,1.20
GeneticAlg,29,1.20
GeneticAlg,30,1.20
GeneticAlg,31,1.20
GeneticAlg,32,1.20
GeneticAlg,33,1.20
GeneticAlg,34,1.20
GeneticAlg,35,1.20
GeneticAlg,36,1.20
GeneticAlg,37,1.20
GeneticAlg,38,1.20
GeneticAlg,39,1.20
GeneticAlg,40,1.20
GeneticAlg,41,1.20
GeneticAlg,42,1.20
GeneticAlg,43,1.20
GeneticAlg,44,1.20
GeneticAlg,45,1.20
GeneticAlg,46,1.20
GeneticAlg,47,1.20
GeneticAlg,48,1.20
GeneticAlg,49,1.20
GeneticAlg,50,1.20
GeneticAlg,51,1.20
GeneticAlg,52,1.20
GeneticAlg,53,1.20
GeneticAlg,54,1.20
GeneticAlg,55,1.20
GeneticAlg,56,1.20
GeneticAlg,57,1.20
GeneticAlg,58,1.20
GeneticAlg,59,1.20
GeneticAlg,60,1.20
GeneticAlg,61,1.20
GeneticAlg,62,1.20
GeneticAlg,63,1.20
GeneticAlg,64,1.20
GeneticAlg,65,1.20
GeneticAlg,66,1.20
GeneticAlg,67,1.20
GeneticAlg,68,1.20
GeneticAlg,69,1.20
GeneticAlg,70,1.20
GeneticAlg,71,1.20
GeneticAlg,72,1.20
GeneticAlg,73,1.20
GeneticAlg,74,1.20
GeneticAlg,75,1.20
GeneticAlg,76,1.20
GeneticAlg,77,1.20
GeneticAlg,78,1.20
GeneticAlg,79,1.20
GeneticAlg,80,1.20
GeneticAlg,81,1.20
GeneticAlg,82,1.20
GeneticAlg,83,1.20
GeneticAlg,84,1.20
GeneticAlg,85,1.20
GeneticAlg,86,1.20
GeneticAlg,87,1.20
GeneticAlg,88,1.20
GeneticAlg,89,1.20
GeneticAlg,90,1.20
GeneticAlg,91,1.20
GeneticAlg,92,1.20
GeneticAlg,93,1.20
GeneticAlg,94,1.20
GeneticAlg,95,1.20
GeneticAlg,96,1.20
GeneticAlg,97,1.20
GeneticAlg,98,1.20
GeneticAlg,99,1.20
GeneticAlg,0,1.80
