Algorithm,Iteration,costValue
AntColonyAlg,0,25.80
AntColonyAlg,1,25.80
AntColonyAlg,2,25.60
AntColonyAlg,3,25.60
AntColonyAlg,4,25.60
AntColonyAlg,5,25.60
AntColonyAlg,6,25.20
AntColonyAlg,7,25.20
AntColonyAlg,8,25.20
AntColonyAlg,9,25.20
AntColonyAlg,10,24.60
AntColonyAlg,11,24.60
AntColonyAlg,12,24.60
AntColonyAlg,13,24.60
AntColonyAlg,14,24.60
AntColonyAlg,15,24.60
AntColonyAlg,16,24.60
AntColonyAlg,17,24.60
AntColonyAlg,18,24.60
AntColonyAlg,19,24.60
AntColonyAlg,20,24.60
AntColonyAlg,21,24.60
AntColonyAlg,22,24.60
AntColonyAlg,23,24.60
AntColonyAlg,24,24.60
AntColonyAlg,25,24.60
AntColonyAlg,26,24.60
AntColonyAlg,27,24.60
AntColonyAlg,28,24.60
AntColonyAlg,29,24.60
AntColonyAlg,30,24.60
AntColonyAlg,31,24.60
AntColonyAlg,32,24.60
AntColonyAlg,33,24.60
AntColonyAlg,34,24.60
AntColonyAlg,35,24.60
AntColonyAlg,36,24.60
AntColonyAlg,37,24.60
AntColonyAlg,38,24.60
AntColonyAlg,39,24.60
AntColonyAlg,40,24.60
AntColonyAlg,41,24.60
AntColonyAlg,42,24.60
AntColonyAlg,43,24.60
AntColonyAlg,44,24.60
AntColonyAlg,45,24.60
AntColonyAlg,46,24.60
AntColonyAlg,47,24.60
AntColonyAlg,48,24.60
AntColonyAlg,49,24.60
AntColonyAlg,50,24.40
AntColonyAlg,51,24.40
AntColonyAlg,52,24.40
AntColonyAlg,53,24.40
AntColonyAlg,54,24.40
AntColonyAlg,55,24.20
AntColonyAlg,56,24.20
AntColonyAlg,57,24.20
AntColonyAlg,58,24.20
AntColonyAlg,59,24.20
AntColonyAlg,60,24.20
AntColonyAlg,61,24.20
AntColonyAlg,62,24.20
AntColonyAlg,63,24.20
AntColonyAlg,64,24.20
AntColonyAlg,65,24.20
AntColonyAlg,66,24.20
AntColonyAlg,67,24.20
AntColonyAlg,68,24.20
AntColonyAlg,69,24.20
AntColonyAlg,70,24.20
AntColonyAlg,71,24.20
AntColonyAlg,72,24.20
AntColonyAlg,73,24.20
