Algorithm,Iterations,TotalTimeMs,AvgIterationTimeMs,UsedMemoryMb,AvgUsedMemoryPerIteration
AntColonyAlg,2440,24.40,4586.67,45.87
GeneticAlg,8486,84.86,4442.63,44.43
ParticleSwarmAlg,5618,56.18,4373.99,43.74
AntColonyAlg,2426,24.26,3590.74,35.91
GeneticAlg,8508,85.08,4336.35,43.36
ParticleSwarmAlg,5478,54.78,4294.13,42.94
AntColonyAlg,2416,24.16,5174.00,51.74
GeneticAlg,8448,84.48,4423.67,44.24
ParticleSwarmAlg,5508,55.08,4404.18,44.04
AntColonyAlg,2435,24.35,5297.09,52.97
GeneticAlg,8367,83.67,4485.24,44.85
ParticleSwarmAlg,5501,55.01,4469.01,44.69
AntColonyAlg,2371,23.71,4530.39,45.30
GeneticAlg,8615,86.15,4479.02,44.79
ParticleSwarmAlg,5577,55.77,4517.08,45.17
AntColonyAlg,2482,24.82,3392.36,33.92
GeneticAlg,8316,83.16,4592.80,45.93
ParticleSwarmAlg,5581,55.81,4528.95,45.29
AntColonyAlg,2450,24.50,4276.96,42.77
GeneticAlg,8357,83.57,4689.21,46.89
ParticleSwarmAlg,5611,56.11,4565.22,45.65
AntColonyAlg,2425,24.25,5962.82,59.63
GeneticAlg,8370,83.70,4568.60,45.69
ParticleSwarmAlg,5616,56.16,4597.84,45.98
AntColonyAlg,2388,23.88,4949.75,49.50
GeneticAlg,8477,84.77,4638.73,46.39
ParticleSwarmAlg,5565,55.65,4839.76,48.40
AntColonyAlg,2434,24.34,3335.72,33.36
GeneticAlg,8520,85.20,4836.47,48.36
ParticleSwarmAlg,5508,55.08,4753.78,47.54
