Algorithm,Iteration,costValue
ParticleSwarmAlg,0,47.00
ParticleSwarmAlg,1,47.00
ParticleSwarmAlg,2,46.20
ParticleSwarmAlg,3,46.20
ParticleSwarmAlg,4,46.20
ParticleSwarmAlg,5,46.20
ParticleSwarmAlg,6,46.20
ParticleSwarmAlg,7,41.60
ParticleSwarmAlg,8,41.60
ParticleSwarmAlg,9,41.60
ParticleSwarmAlg,10,41.60
ParticleSwarmAlg,11,41.60
ParticleSwarmAlg,12,41.60
ParticleSwarmAlg,13,41.60
ParticleSwarmAlg,14,41.60
ParticleSwarmAlg,15,41.60
ParticleSwarmAlg,16,41.60
ParticleSwarmAlg,17,41.60
ParticleSwarmAlg,18,41.60
ParticleSwarmAlg,19,41.60
ParticleSwarmAlg,20,41.40
ParticleSwarmAlg,21,41.40
ParticleSwarmAlg,22,41.40
ParticleSwarmAlg,23,41.40
ParticleSwarmAlg,24,40.80
ParticleSwarmAlg,25,40.80
ParticleSwarmAlg,26,40.80
ParticleSwarmAlg,27,40.80
ParticleSwarmAlg,28,40.80
ParticleSwarmAlg,29,40.80
ParticleSwarmAlg,30,40.80
ParticleSwarmAlg,31,40.80
ParticleSwarmAlg,32,40.80
ParticleSwarmAlg,33,40.80
ParticleSwarmAlg,34,40.80
ParticleSwarmAlg,35,40.80
ParticleSwarmAlg,36,40.80
ParticleSwarmAlg,37,40.80
ParticleSwarmAlg,38,40.80
ParticleSwarmAlg,39,40.80
ParticleSwarmAlg,40,40.80
ParticleSwarmAlg,41,40.80
ParticleSwarmAlg,42,40.80
ParticleSwarmAlg,43,40.80
ParticleSwarmAlg,44,40.80
ParticleSwarmAlg,45,40.80
ParticleSwarmAlg,46,40.80
ParticleSwarmAlg,47,40.80
ParticleSwarmAlg,48,40.80
ParticleSwarmAlg,49,40.80
ParticleSwarmAlg,50,40.80
ParticleSwarmAlg,51,40.80
ParticleSwarmAlg,52,40.80
ParticleSwarmAlg,53,40.80
ParticleSwarmAlg,54,40.80
ParticleSwarmAlg,55,40.80
ParticleSwarmAlg,56,40.80
ParticleSwarmAlg,57,40.80
ParticleSwarmAlg,58,40.80
ParticleSwarmAlg,59,40.80
ParticleSwarmAlg,60,40.80
ParticleSwarmAlg,61,40.80
ParticleSwarmAlg,62,40.80
ParticleSwarmAlg,63,40.80
ParticleSwarmAlg,64,40.80
ParticleSwarmAlg,65,40.80
ParticleSwarmAlg,66,40.80
ParticleSwarmAlg,67,40.80
ParticleSwarmAlg,68,40.80
ParticleSwarmAlg,69,40.80
ParticleSwarmAlg,70,40.80
ParticleSwarmAlg,71,40.80
ParticleSwarmAlg,72,40.80
ParticleSwarmAlg,73,40.80
ParticleSwarmAlg,74,40.80
ParticleSwarmAlg,75,40.80
ParticleSwarmAlg,76,40.80
ParticleSwarmAlg,77,40.80
ParticleSwarmAlg,78,40.80
ParticleSwarmAlg,79,40.80
ParticleSwarmAlg,80,40.80
ParticleSwarmAlg,81,40.80
ParticleSwarmAlg,82,40.80
ParticleSwarmAlg,83,40.80
ParticleSwarmAlg,84,40.80
ParticleSwarmAlg,85,40.80
ParticleSwarmAlg,86,40.80
ParticleSwarmAlg,87,40.80
ParticleSwarmAlg,88,40.80
ParticleSwarmAlg,89,40.80
ParticleSwarmAlg,90,40.80
ParticleSwarmAlg,91,40.80
ParticleSwarmAlg,92,40.80
ParticleSwarmAlg,93,40.80
ParticleSwarmAlg,94,40.80
ParticleSwarmAlg,95,40.80
ParticleSwarmAlg,96,40.80
ParticleSwarmAlg,97,40.80
ParticleSwarmAlg,98,40.80
ParticleSwarmAlg,99,40.80
ParticleSwarmAlg,0,46.00
ParticleSwarmAlg,1,46.00
ParticleSwarmAlg,2,45.60
ParticleSwarmAlg,3,45.60
ParticleSwarmAlg,4,45.60
ParticleSwarmAlg,5,43.40
ParticleSwarmAlg,6,43.40
ParticleSwarmAlg,7,43.40
ParticleSwarmAlg,8,43.40
ParticleSwarmAlg,9,42.20
ParticleSwarmAlg,10,42.20
ParticleSwarmAlg,11,42.20
ParticleSwarmAlg,12,42.20
ParticleSwarmAlg,13,42.20
ParticleSwarmAlg,14,42.20
ParticleSwarmAlg,15,42.20
ParticleSwarmAlg,16,42.20
ParticleSwarmAlg,17,42.20
ParticleSwarmAlg,18,42.20
ParticleSwarmAlg,19,42.20
ParticleSwarmAlg,20,42.20
ParticleSwarmAlg,21,42.20
ParticleSwarmAlg,22,42.20
ParticleSwarmAlg,23,42.20
ParticleSwarmAlg,24,42.20
ParticleSwarmAlg,25,42.20
ParticleSwarmAlg,26,42.20
ParticleSwarmAlg,27,42.20
ParticleSwarmAlg,28,42.20
ParticleSwarmAlg,29,42.20
ParticleSwarmAlg,30,42.20
ParticleSwarmAlg,31,42.20
ParticleSwarmAlg,32,42.20
ParticleSwarmAlg,33,42.20
ParticleSwarmAlg,34,42.20
ParticleSwarmAlg,35,42.20
ParticleSwarmAlg,36,42.20
ParticleSwarmAlg,37,42.20
ParticleSwarmAlg,38,42.20
ParticleSwarmAlg,39,42.20
ParticleSwarmAlg,40,40.60
ParticleSwarmAlg,41,40.60
ParticleSwarmAlg,42,40.60
ParticleSwarmAlg,43,40.60
ParticleSwarmAlg,44,40.60
ParticleSwarmAlg,45,40.60
ParticleSwarmAlg,46,40.60
ParticleSwarmAlg,47,40.60
ParticleSwarmAlg,48,40.60
ParticleSwarmAlg,49,40.60
ParticleSwarmAlg,50,40.60
ParticleSwarmAlg,51,40.60
ParticleSwarmAlg,52,40.60
ParticleSwarmAlg,53,40.60
ParticleSwarmAlg,54,40.60
ParticleSwarmAlg,55,40.60
ParticleSwarmAlg,56,40.60
ParticleSwarmAlg,57,40.60
ParticleSwarmAlg,58,40.60
ParticleSwarmAlg,59,40.60
ParticleSwarmAlg,60,40.60
ParticleSwarmAlg,61,40.60
ParticleSwarmAlg,62,40.60
ParticleSwarmAlg,63,40.60
ParticleSwarmAlg,64,40.60
ParticleSwarmAlg,65,40.60
ParticleSwarmAlg,66,40.60
ParticleSwarmAlg,67,40.60
ParticleSwarmAlg,68,40.60
ParticleSwarmAlg,69,40.60
ParticleSwarmAlg,70,40.60
ParticleSwarmAlg,71,40.60
ParticleSwarmAlg,72,40.60
ParticleSwarmAlg,73,40.60
ParticleSwarmAlg,74,40.60
ParticleSwarmAlg,75,40.60
ParticleSwarmAlg,76,40.60
ParticleSwarmAlg,77,40.60
ParticleSwarmAlg,78,40.60
ParticleSwarmAlg,79,38.80
ParticleSwarmAlg,80,38.80
ParticleSwarmAlg,81,38.80
ParticleSwarmAlg,82,38.80
ParticleSwarmAlg,83,38.80
ParticleSwarmAlg,84,38.80
ParticleSwarmAlg,85,38.80
ParticleSwarmAlg,86,38.80
ParticleSwarmAlg,87,38.80
ParticleSwarmAlg,88,38.80
ParticleSwarmAlg,89,38.80
ParticleSwarmAlg,90,38.80
ParticleSwarmAlg,91,38.80
ParticleSwarmAlg,92,38.80
ParticleSwarmAlg,93,38.80
ParticleSwarmAlg,94,38.80
