Algorithm,Iteration,costValue
AntColonyAlg,0,44.80
AntColonyAlg,1,44.80
AntColonyAlg,2,43.80
AntColonyAlg,3,43.80
AntColonyAlg,4,39.80
AntColonyAlg,5,39.80
AntColonyAlg,6,39.80
AntColonyAlg,7,39.80
AntColonyAlg,8,39.80
AntColonyAlg,9,39.80
AntColonyAlg,10,39.80
AntColonyAlg,11,39.80
AntColonyAlg,12,39.80
AntColonyAlg,13,39.80
AntColonyAlg,14,39.80
AntColonyAlg,15,39.80
AntColonyAlg,16,39.80
AntColonyAlg,17,39.80
AntColonyAlg,18,39.80
AntColonyAlg,19,39.80
AntColonyAlg,20,39.80
AntColonyAlg,21,39.80
AntColonyAlg,22,39.80
AntColonyAlg,23,39.80
AntColonyAlg,24,39.80
AntColonyAlg,25,39.80
AntColonyAlg,26,39.80
AntColonyAlg,27,39.80
AntColonyAlg,28,39.80
AntColonyAlg,29,39.80
AntColonyAlg,30,39.80
AntColonyAlg,31,39.80
AntColonyAlg,32,39.80
AntColonyAlg,33,39.80
AntColonyAlg,34,39.80
AntColonyAlg,35,39.80
AntColonyAlg,36,39.80
AntColonyAlg,37,39.80
AntColonyAlg,38,39.80
AntColonyAlg,39,39.80
AntColonyAlg,40,39.80
AntColonyAlg,41,39.80
AntColonyAlg,42,39.80
AntColonyAlg,43,39.80
AntColonyAlg,44,39.80
AntColonyAlg,45,39.80
AntColonyAlg,46,39.80
AntColonyAlg,47,39.80
AntColonyAlg,48,39.80
AntColonyAlg,49,39.80
AntColonyAlg,50,39.80
AntColonyAlg,51,39.80
AntColonyAlg,52,39.80
AntColonyAlg,53,39.80
AntColonyAlg,54,39.80
AntColonyAlg,55,39.80
AntColonyAlg,56,39.80
AntColonyAlg,57,39.80
AntColonyAlg,58,39.80
AntColonyAlg,59,39.80
AntColonyAlg,60,39.80
AntColonyAlg,61,39.80
AntColonyAlg,62,39.80
AntColonyAlg,63,39.80
AntColonyAlg,64,39.80
AntColonyAlg,65,39.80
AntColonyAlg,66,39.80
AntColonyAlg,67,39.80
AntColonyAlg,68,39.80
AntColonyAlg,69,39.80
AntColonyAlg,70,39.80
AntColonyAlg,71,39.80
AntColonyAlg,72,39.80
AntColonyAlg,73,39.80
AntColonyAlg,74,39.80
AntColonyAlg,75,39.80
AntColonyAlg,76,39.80
AntColonyAlg,77,39.80
AntColonyAlg,78,39.80
AntColonyAlg,79,39.80
AntColonyAlg,80,39.80
AntColonyAlg,81,39.80
AntColonyAlg,82,39.80
AntColonyAlg,83,39.80
AntColonyAlg,84,39.80
AntColonyAlg,85,39.80
