Algorithm,Iterations,TotalTimeMs,AvgIterationTimeMs,UsedMemoryMb,AvgUsedMemoryPerIteration
AntColonyAlg,636,6.36,4671.02,46.71
GeneticAlg,2046,20.46,4646.56,46.47
ParticleSwarmAlg,1053,10.53,4445.43,44.45
AntColonyAlg,591,5.91,3008.97,30.09
GeneticAlg,2090,20.90,4352.85,43.53
ParticleSwarmAlg,940,9.40,4382.53,43.83
AntColonyAlg,587,5.87,3033.88,30.34
GeneticAlg,2034,20.34,4307.92,43.08
ParticleSwarmAlg,994,9.94,4615.13,46.15
AntColonyAlg,592,5.92,2336.72,23.37
GeneticAlg,2092,20.92,4305.79,43.06
ParticleSwarmAlg,959,9.59,4496.47,44.96
AntColonyAlg,603,6.03,2830.67,28.31
GeneticAlg,1966,19.66,4252.63,42.53
ParticleSwarmAlg,949,9.49,4487.24,44.87
AntColonyAlg,588,5.88,3496.38,34.96
GeneticAlg,2059,20.59,4241.31,42.41
ParticleSwarmAlg,997,9.97,4444.46,44.44
AntColonyAlg,589,5.89,3526.62,35.27
GeneticAlg,2000,20.00,4263.08,42.63
ParticleSwarmAlg,937,9.37,4383.91,43.84
AntColonyAlg,587,5.87,4285.33,42.85
GeneticAlg,2035,20.35,4227.59,42.28
ParticleSwarmAlg,928,9.28,4277.87,42.78
AntColonyAlg,618,6.18,5079.28,50.79
GeneticAlg,1992,19.92,4159.06,41.59
ParticleSwarmAlg,919,9.19,4146.72,41.47
AntColonyAlg,610,6.10,6093.21,60.93
GeneticAlg,2038,20.38,4142.78,41.43
ParticleSwarmAlg,990,9.90,4098.62,40.99
