Algorithm,Iteration,TotalConstraintViolations
AntColonyAlg,0,143
AntColonyAlg,1,130
AntColonyAlg,2,137
AntColonyAlg,3,126
AntColonyAlg,4,126
AntColonyAlg,5,126
AntColonyAlg,6,126
AntColonyAlg,7,126
AntColonyAlg,8,126
AntColonyAlg,9,126
AntColonyAlg,10,126
AntColonyAlg,11,126
AntColonyAlg,12,126
AntColonyAlg,13,126
AntColonyAlg,14,126
AntColonyAlg,15,126
AntColonyAlg,16,126
AntColonyAlg,17,126
AntColonyAlg,18,126
AntColonyAlg,19,126
AntColonyAlg,20,126
AntColonyAlg,21,126
AntColonyAlg,22,126
AntColonyAlg,23,137
AntColonyAlg,24,137
AntColonyAlg,25,137
AntColonyAlg,26,137
AntColonyAlg,27,137
AntColonyAlg,28,137
AntColonyAlg,29,137
AntColonyAlg,30,137
AntColonyAlg,31,137
AntColonyAlg,32,137
AntColonyAlg,33,137
AntColonyAlg,34,137
AntColonyAlg,35,137
AntColonyAlg,36,137
AntColonyAlg,37,130
AntColonyAlg,38,130
AntColonyAlg,39,130
AntColonyAlg,40,130
AntColonyAlg,41,130
AntColonyAlg,42,130
AntColonyAlg,43,130
AntColonyAlg,44,130
AntColonyAlg,45,130
AntColonyAlg,46,130
AntColonyAlg,47,130
AntColonyAlg,48,130
AntColonyAlg,49,123
AntColonyAlg,50,123
AntColonyAlg,51,123
AntColonyAlg,52,123
AntColonyAlg,53,123
AntColonyAlg,54,123
AntColonyAlg,55,123
AntColonyAlg,56,123
AntColonyAlg,57,123
AntColonyAlg,58,123
AntColonyAlg,59,123
AntColonyAlg,60,123
AntColonyAlg,61,123
AntColonyAlg,62,123
AntColonyAlg,63,123
AntColonyAlg,64,123
AntColonyAlg,65,130
AntColonyAlg,66,130
AntColonyAlg,67,130
AntColonyAlg,68,130
AntColonyAlg,69,130
AntColonyAlg,70,130
AntColonyAlg,71,130
AntColonyAlg,72,130
AntColonyAlg,73,130
AntColonyAlg,74,130
AntColonyAlg,75,130
AntColonyAlg,76,130
AntColonyAlg,77,130
AntColonyAlg,78,130
AntColonyAlg,79,130
AntColonyAlg,80,130
AntColonyAlg,81,130
AntColonyAlg,82,130
AntColonyAlg,83,130
AntColonyAlg,84,130
AntColonyAlg,85,130
AntColonyAlg,86,130
AntColonyAlg,87,130
AntColonyAlg,88,130
AntColonyAlg,89,130
AntColonyAlg,90,130
AntColonyAlg,91,130
AntColonyAlg,92,130
AntColonyAlg,93,130
AntColonyAlg,94,130
AntColonyAlg,95,130
AntColonyAlg,96,130
AntColonyAlg,97,130
AntColonyAlg,98,130
AntColonyAlg,99,130
