Algorithm,Iteration,costValue
ParticleSwarmAlg,0,1.80
ParticleSwarmAlg,1,1.80
ParticleSwarmAlg,2,1.80
ParticleSwarmAlg,3,1.80
ParticleSwarmAlg,4,1.80
ParticleSwarmAlg,5,1.80
ParticleSwarmAlg,6,1.80
ParticleSwarmAlg,7,1.80
ParticleSwarmAlg,8,1.80
ParticleSwarmAlg,9,1.80
ParticleSwarmAlg,10,1.80
ParticleSwarmAlg,11,1.80
ParticleSwarmAlg,12,1.80
ParticleSwarmAlg,13,1.80
ParticleSwarmAlg,14,1.80
ParticleSwarmAlg,15,1.80
ParticleSwarmAlg,16,1.80
ParticleSwarmAlg,17,1.80
ParticleSwarmAlg,18,1.80
ParticleSwarmAlg,19,1.80
ParticleSwarmAlg,20,1.80
ParticleSwarmAlg,21,1.80
ParticleSwarmAlg,22,1.80
ParticleSwarmAlg,23,1.80
ParticleSwarmAlg,24,1.80
ParticleSwarmAlg,25,1.80
ParticleSwarmAlg,26,1.80
ParticleSwarmAlg,27,1.80
ParticleSwarmAlg,28,1.80
ParticleSwarmAlg,29,1.80
ParticleSwarmAlg,30,1.80
ParticleSwarmAlg,31,1.80
ParticleSwarmAlg,32,1.80
ParticleSwarmAlg,33,1.80
ParticleSwarmAlg,34,1.80
ParticleSwarmAlg,35,1.80
ParticleSwarmAlg,36,1.80
ParticleSwarmAlg,37,1.80
ParticleSwarmAlg,38,1.80
ParticleSwarmAlg,39,1.80
ParticleSwarmAlg,40,1.80
ParticleSwarmAlg,41,1.80
ParticleSwarmAlg,42,1.80
ParticleSwarmAlg,43,1.80
ParticleSwarmAlg,44,1.80
ParticleSwarmAlg,45,1.80
ParticleSwarmAlg,46,1.80
ParticleSwarmAlg,47,1.80
ParticleSwarmAlg,48,1.80
ParticleSwarmAlg,49,1.80
ParticleSwarmAlg,50,1.80
ParticleSwarmAlg,51,1.80
ParticleSwarmAlg,52,1.80
ParticleSwarmAlg,53,1.80
ParticleSwarmAlg,54,1.80
ParticleSwarmAlg,55,1.80
ParticleSwarmAlg,56,1.80
ParticleSwarmAlg,57,1.80
ParticleSwarmAlg,58,1.80
ParticleSwarmAlg,59,1.80
ParticleSwarmAlg,60,1.80
ParticleSwarmAlg,61,1.80
ParticleSwarmAlg,62,1.80
ParticleSwarmAlg,63,1.80
ParticleSwarmAlg,64,1.80
ParticleSwarmAlg,65,1.80
ParticleSwarmAlg,66,1.80
ParticleSwarmAlg,67,1.80
ParticleSwarmAlg,68,1.80
ParticleSwarmAlg,69,1.80
ParticleSwarmAlg,70,1.80
ParticleSwarmAlg,71,1.80
ParticleSwarmAlg,72,1.80
ParticleSwarmAlg,73,1.80
ParticleSwarmAlg,74,1.80
ParticleSwarmAlg,75,1.80
ParticleSwarmAlg,76,1.80
ParticleSwarmAlg,77,1.80
ParticleSwarmAlg,78,1.80
ParticleSwarmAlg,79,1.80
ParticleSwarmAlg,80,1.80
ParticleSwarmAlg,81,1.80
ParticleSwarmAlg,82,1.80
ParticleSwarmAlg,83,1.80
ParticleSwarmAlg,84,1.80
ParticleSwarmAlg,85,1.80
ParticleSwarmAlg,86,1.80
ParticleSwarmAlg,87,1.80
ParticleSwarmAlg,88,1.80
ParticleSwarmAlg,89,1.80
ParticleSwarmAlg,90,1.80
ParticleSwarmAlg,91,1.80
ParticleSwarmAlg,92,1.80
ParticleSwarmAlg,93,1.80
ParticleSwarmAlg,94,1.80
ParticleSwarmAlg,95,1.80
ParticleSwarmAlg,96,1.80
ParticleSwarmAlg,97,1.80
ParticleSwarmAlg,98,1.80
ParticleSwarmAlg,99,1.80
ParticleSwarmAlg,0,2.00
ParticleSwarmAlg,1,2.00
ParticleSwarmAlg,2,2.00
ParticleSwarmAlg,3,2.00
ParticleSwarmAlg,4,2.00
ParticleSwarmAlg,5,2.00
ParticleSwarmAlg,6,2.00
ParticleSwarmAlg,7,2.00
ParticleSwarmAlg,8,2.00
ParticleSwarmAlg,9,2.00
ParticleSwarmAlg,10,2.00
ParticleSwarmAlg,11,2.00
ParticleSwarmAlg,12,2.00
ParticleSwarmAlg,13,2.00
ParticleSwarmAlg,14,2.00
ParticleSwarmAlg,15,2.00
ParticleSwarmAlg,16,2.00
ParticleSwarmAlg,17,2.00
ParticleSwarmAlg,18,2.00
ParticleSwarmAlg,19,2.00
ParticleSwarmAlg,20,2.00
ParticleSwarmAlg,21,2.00
ParticleSwarmAlg,22,2.00
ParticleSwarmAlg,23,2.00
ParticleSwarmAlg,24,2.00
ParticleSwarmAlg,25,2.00
ParticleSwarmAlg,26,2.00
ParticleSwarmAlg,27,2.00
ParticleSwarmAlg,28,2.00
ParticleSwarmAlg,29,2.00
ParticleSwarmAlg,30,2.00
ParticleSwarmAlg,31,2.00
ParticleSwarmAlg,32,2.00
ParticleSwarmAlg,33,2.00
ParticleSwarmAlg,34,2.00
ParticleSwarmAlg,35,2.00
ParticleSwarmAlg,36,2.00
ParticleSwarmAlg,37,2.00
ParticleSwarmAlg,38,2.00
ParticleSwarmAlg,39,2.00
ParticleSwarmAlg,40,2.00
ParticleSwarmAlg,41,2.00
ParticleSwarmAlg,42,2.00
ParticleSwarmAlg,43,2.00
ParticleSwarmAlg,44,2.00
ParticleSwarmAlg,45,2.00
ParticleSwarmAlg,46,2.00
ParticleSwarmAlg,47,2.00
ParticleSwarmAlg,48,2.00
ParticleSwarmAlg,49,2.00
ParticleSwarmAlg,50,2.00
ParticleSwarmAlg,51,2.00
ParticleSwarmAlg,52,2.00
ParticleSwarmAlg,53,2.00
ParticleSwarmAlg,54,2.00
ParticleSwarmAlg,55,2.00
ParticleSwarmAlg,56,2.00
ParticleSwarmAlg,57,2.00
ParticleSwarmAlg,58,2.00
ParticleSwarmAlg,59,2.00
ParticleSwarmAlg,60,2.00
ParticleSwarmAlg,61,2.00
ParticleSwarmAlg,62,2.00
ParticleSwarmAlg,63,2.00
ParticleSwarmAlg,64,2.00
ParticleSwarmAlg,65,2.00
ParticleSwarmAlg,66,2.00
ParticleSwarmAlg,67,2.00
ParticleSwarmAlg,68,2.00
ParticleSwarmAlg,69,2.00
ParticleSwarmAlg,70,2.00
ParticleSwarmAlg,71,2.00
ParticleSwarmAlg,72,2.00
ParticleSwarmAlg,73,2.00
ParticleSwarmAlg,74,2.00
ParticleSwarmAlg,75,2.00
ParticleSwarmAlg,76,2.00
ParticleSwarmAlg,77,2.00
ParticleSwarmAlg,78,2.00
ParticleSwarmAlg,79,2.00
