Algorithm,Iteration,TotalConstraintViolations
GeneticAlg,0,66
GeneticAlg,1,56
GeneticAlg,2,56
GeneticAlg,3,54
GeneticAlg,4,53
GeneticAlg,5,52
GeneticAlg,6,49
GeneticAlg,7,49
GeneticAlg,8,49
GeneticAlg,9,49
GeneticAlg,10,49
GeneticAlg,11,49
GeneticAlg,12,48
GeneticAlg,13,48
GeneticAlg,14,48
GeneticAlg,15,48
GeneticAlg,16,48
GeneticAlg,17,48
GeneticAlg,18,48
GeneticAlg,19,48
GeneticAlg,20,48
GeneticAlg,21,48
GeneticAlg,22,48
GeneticAlg,23,48
GeneticAlg,24,48
GeneticAlg,25,48
GeneticAlg,26,48
GeneticAlg,27,48
GeneticAlg,28,48
GeneticAlg,29,48
GeneticAlg,30,48
GeneticAlg,31,48
GeneticAlg,32,48
GeneticAlg,33,48
GeneticAlg,34,48
GeneticAlg,35,48
GeneticAlg,36,48
GeneticAlg,37,48
GeneticAlg,38,48
GeneticAlg,39,48
GeneticAlg,40,48
GeneticAlg,41,48
GeneticAlg,42,48
GeneticAlg,43,48
GeneticAlg,44,48
GeneticAlg,45,48
GeneticAlg,46,48
GeneticAlg,47,48
GeneticAlg,48,48
GeneticAlg,49,48
GeneticAlg,50,48
GeneticAlg,51,48
GeneticAlg,52,48
GeneticAlg,53,48
GeneticAlg,54,48
GeneticAlg,55,48
GeneticAlg,56,48
GeneticAlg,57,48
GeneticAlg,58,48
GeneticAlg,59,48
GeneticAlg,60,48
GeneticAlg,61,48
GeneticAlg,62,48
GeneticAlg,63,48
GeneticAlg,64,48
GeneticAlg,65,48
GeneticAlg,66,48
GeneticAlg,67,48
GeneticAlg,68,48
GeneticAlg,69,48
GeneticAlg,70,48
GeneticAlg,71,48
GeneticAlg,72,48
GeneticAlg,73,48
GeneticAlg,74,48
GeneticAlg,75,48
GeneticAlg,76,48
GeneticAlg,77,48
GeneticAlg,78,48
GeneticAlg,79,48
GeneticAlg,80,48
GeneticAlg,81,48
GeneticAlg,82,48
GeneticAlg,83,48
GeneticAlg,84,48
GeneticAlg,85,48
GeneticAlg,86,48
GeneticAlg,87,48
GeneticAlg,88,48
GeneticAlg,89,48
GeneticAlg,90,48
GeneticAlg,91,48
GeneticAlg,92,48
GeneticAlg,93,48
GeneticAlg,94,48
GeneticAlg,95,48
GeneticAlg,96,48
GeneticAlg,97,48
GeneticAlg,98,48
GeneticAlg,99,48
