Algorithm,Iteration,costValue
AntColonyAlg,0,437.60
AntColonyAlg,1,429.20
AntColonyAlg,2,429.20
AntColonyAlg,3,429.20
AntColonyAlg,4,429.20
AntColonyAlg,5,429.20
AntColonyAlg,6,429.20
AntColonyAlg,7,429.20
AntColonyAlg,8,429.20
AntColonyAlg,9,429.20
AntColonyAlg,10,429.20
AntColonyAlg,11,405.20
AntColonyAlg,12,405.20
AntColonyAlg,13,405.20
AntColonyAlg,14,405.20
AntColonyAlg,15,405.20
AntColonyAlg,16,405.20
AntColonyAlg,17,405.20
AntColonyAlg,18,405.20
AntColonyAlg,19,405.20
AntColonyAlg,20,405.20
AntColonyAlg,21,405.20
AntColonyAlg,22,405.20
AntColonyAlg,23,405.20
AntColonyAlg,24,405.20
AntColonyAlg,25,405.20
AntColonyAlg,26,405.20
AntColonyAlg,27,405.20
AntColonyAlg,28,405.20
AntColonyAlg,29,405.20
AntColonyAlg,30,405.20
AntColonyAlg,31,405.20
AntColonyAlg,32,405.20
AntColonyAlg,33,405.20
AntColonyAlg,34,405.20
AntColonyAlg,35,405.20
AntColonyAlg,36,405.20
AntColonyAlg,37,405.20
AntColonyAlg,38,405.20
AntColonyAlg,39,405.20
AntColonyAlg,40,405.20
AntColonyAlg,41,405.20
AntColonyAlg,42,405.20
AntColonyAlg,43,397.00
AntColonyAlg,44,397.00
AntColonyAlg,45,397.00
AntColonyAlg,46,397.00
AntColonyAlg,47,397.00
AntColonyAlg,48,397.00
AntColonyAlg,49,397.00
AntColonyAlg,50,397.00
AntColonyAlg,51,397.00
AntColonyAlg,52,397.00
AntColonyAlg,53,397.00
AntColonyAlg,54,397.00
AntColonyAlg,55,397.00
AntColonyAlg,56,397.00
AntColonyAlg,57,397.00
AntColonyAlg,58,397.00
AntColonyAlg,59,397.00
AntColonyAlg,60,397.00
AntColonyAlg,61,397.00
AntColonyAlg,62,397.00
AntColonyAlg,63,397.00
AntColonyAlg,64,397.00
AntColonyAlg,65,397.00
AntColonyAlg,66,397.00
AntColonyAlg,67,397.00
AntColonyAlg,68,397.00
AntColonyAlg,69,397.00
AntColonyAlg,70,397.00
AntColonyAlg,71,397.00
AntColonyAlg,72,397.00
AntColonyAlg,73,397.00
AntColonyAlg,74,397.00
AntColonyAlg,75,397.00
AntColonyAlg,76,397.00
AntColonyAlg,77,397.00
AntColonyAlg,78,397.00
AntColonyAlg,79,397.00
AntColonyAlg,80,397.00
AntColonyAlg,81,397.00
AntColonyAlg,82,397.00
AntColonyAlg,83,397.00
AntColonyAlg,84,397.00
AntColonyAlg,85,397.00
AntColonyAlg,86,397.00
AntColonyAlg,87,397.00
AntColonyAlg,88,397.00
AntColonyAlg,89,397.00
AntColonyAlg,90,397.00
AntColonyAlg,91,397.00
AntColonyAlg,92,397.00
AntColonyAlg,93,397.00
AntColonyAlg,94,397.00
AntColonyAlg,95,397.00
AntColonyAlg,96,397.00
AntColonyAlg,97,397.00
AntColonyAlg,98,397.00
AntColonyAlg,99,397.00
AntColonyAlg,0,445.20
AntColonyAlg,1,432.20
AntColonyAlg,2,432.20
AntColonyAlg,3,415.00
AntColonyAlg,4,415.00
AntColonyAlg,5,415.00
AntColonyAlg,6,415.00
AntColonyAlg,7,415.00
AntColonyAlg,8,415.00
AntColonyAlg,9,415.00
AntColonyAlg,10,415.00
AntColonyAlg,11,403.00
AntColonyAlg,12,403.00
AntColonyAlg,13,403.00
AntColonyAlg,14,403.00
AntColonyAlg,15,403.00
AntColonyAlg,16,403.00
AntColonyAlg,17,403.00
AntColonyAlg,18,403.00
AntColonyAlg,19,403.00
AntColonyAlg,20,403.00
AntColonyAlg,21,403.00
AntColonyAlg,22,403.00
AntColonyAlg,23,403.00
AntColonyAlg,24,403.00
AntColonyAlg,25,403.00
AntColonyAlg,26,403.00
AntColonyAlg,27,403.00
AntColonyAlg,28,403.00
AntColonyAlg,29,403.00
AntColonyAlg,30,403.00
AntColonyAlg,31,403.00
AntColonyAlg,32,403.00
AntColonyAlg,33,403.00
AntColonyAlg,34,403.00
AntColonyAlg,35,403.00
AntColonyAlg,36,403.00
AntColonyAlg,37,403.00
AntColonyAlg,38,403.00
AntColonyAlg,39,403.00
AntColonyAlg,40,403.00
AntColonyAlg,41,403.00
AntColonyAlg,42,403.00
AntColonyAlg,43,403.00
AntColonyAlg,44,403.00
