Algorithm,Iterations,TotalTimeMs,AvgIterationTimeMs,UsedMemoryMb,AvgUsedMemoryPerIteration
AntColonyAlg,170,1.70,5427.92,54.28
GeneticAlg,531,5.31,5864.39,58.64
ParticleSwarmAlg,261,2.61,3968.32,39.68
AntColonyAlg,144,1.44,3773.08,37.73
GeneticAlg,485,4.85,3751.56,37.52
ParticleSwarmAlg,253,2.53,4162.72,41.63
AntColonyAlg,141,1.41,4074.46,40.74
GeneticAlg,519,5.19,4582.78,45.83
ParticleSwarmAlg,235,2.35,3976.80,39.77
AntColonyAlg,148,1.48,6180.00,61.80
GeneticAlg,584,5.84,3725.75,37.26
ParticleSwarmAlg,243,2.43,4362.87,43.63
AntColonyAlg,139,1.39,3192.61,31.93
GeneticAlg,488,4.88,4430.02,44.30
ParticleSwarmAlg,231,2.31,4090.80,40.91
AntColonyAlg,140,1.40,6291.85,62.92
GeneticAlg,485,4.85,4154.76,41.55
ParticleSwarmAlg,229,2.29,4482.76,44.83
AntColonyAlg,138,1.38,1891.79,18.92
GeneticAlg,505,5.05,4107.15,41.07
ParticleSwarmAlg,230,2.30,4220.25,42.20
AntColonyAlg,138,1.38,4997.78,49.98
GeneticAlg,486,4.86,4803.89,48.04
ParticleSwarmAlg,232,2.32,3945.90,39.46
AntColonyAlg,139,1.39,3808.39,38.08
GeneticAlg,507,5.07,3844.90,38.45
ParticleSwarmAlg,228,2.28,4339.07,43.39
AntColonyAlg,142,1.42,3693.78,36.94
GeneticAlg,483,4.83,4553.51,45.54
ParticleSwarmAlg,233,2.33,4068.66,40.69
