Algorithm,Iteration,TotalConstraintViolations
AntColonyAlg,0,177
AntColonyAlg,1,177
AntColonyAlg,2,177
AntColonyAlg,3,177
AntColonyAlg,4,168
AntColonyAlg,5,168
AntColonyAlg,6,168
AntColonyAlg,7,168
AntColonyAlg,8,168
AntColonyAlg,9,168
AntColonyAlg,10,171
AntColonyAlg,11,171
AntColonyAlg,12,171
AntColonyAlg,13,171
AntColonyAlg,14,171
AntColonyAlg,15,171
AntColonyAlg,16,171
AntColonyAlg,17,171
AntColonyAlg,18,171
AntColonyAlg,19,173
AntColonyAlg,20,173
AntColonyAlg,21,173
AntColonyAlg,22,173
AntColonyAlg,23,173
AntColonyAlg,24,173
AntColonyAlg,25,173
AntColonyAlg,26,173
AntColonyAlg,27,173
AntColonyAlg,28,173
AntColonyAlg,29,173
AntColonyAlg,30,173
AntColonyAlg,31,173
AntColonyAlg,32,177
AntColonyAlg,33,177
AntColonyAlg,34,177
AntColonyAlg,35,177
AntColonyAlg,36,177
AntColonyAlg,37,177
AntColonyAlg,38,177
AntColonyAlg,39,177
AntColonyAlg,40,177
AntColonyAlg,41,177
AntColonyAlg,42,177
AntColonyAlg,43,177
AntColonyAlg,44,177
AntColonyAlg,45,177
AntColonyAlg,46,177
AntColonyAlg,47,177
AntColonyAlg,48,177
AntColonyAlg,49,177
AntColonyAlg,50,177
AntColonyAlg,51,177
AntColonyAlg,52,177
AntColonyAlg,53,177
AntColonyAlg,54,177
AntColonyAlg,55,177
AntColonyAlg,56,177
AntColonyAlg,57,177
AntColonyAlg,58,177
AntColonyAlg,59,177
AntColonyAlg,60,177
AntColonyAlg,61,177
AntColonyAlg,62,177
AntColonyAlg,63,177
AntColonyAlg,64,177
AntColonyAlg,65,177
AntColonyAlg,66,177
AntColonyAlg,67,177
AntColonyAlg,68,177
AntColonyAlg,69,177
AntColonyAlg,70,177
AntColonyAlg,71,177
AntColonyAlg,72,177
AntColonyAlg,73,177
AntColonyAlg,74,177
AntColonyAlg,75,177
AntColonyAlg,76,177
AntColonyAlg,77,177
AntColonyAlg,78,177
AntColonyAlg,79,177
AntColonyAlg,80,177
AntColonyAlg,81,177
AntColonyAlg,82,177
AntColonyAlg,83,177
AntColonyAlg,84,179
AntColonyAlg,85,179
AntColonyAlg,86,179
AntColonyAlg,87,179
AntColonyAlg,88,179
AntColonyAlg,89,179
AntColonyAlg,90,179
AntColonyAlg,91,179
AntColonyAlg,92,179
AntColonyAlg,93,179
AntColonyAlg,94,179
AntColonyAlg,95,179
AntColonyAlg,96,179
AntColonyAlg,97,179
AntColonyAlg,98,179
AntColonyAlg,99,179
