Algorithm,Iteration,TotalConstraintViolations
GeneticAlg,0,210
GeneticAlg,1,210
GeneticAlg,2,210
GeneticAlg,3,210
GeneticAlg,4,210
GeneticAlg,5,210
GeneticAlg,6,210
GeneticAlg,7,202
GeneticAlg,8,202
GeneticAlg,9,202
GeneticAlg,10,208
GeneticAlg,11,207
GeneticAlg,12,207
GeneticAlg,13,207
GeneticAlg,14,207
GeneticAlg,15,207
GeneticAlg,16,207
GeneticAlg,17,207
GeneticAlg,18,207
GeneticAlg,19,207
GeneticAlg,20,207
GeneticAlg,21,206
GeneticAlg,22,206
GeneticAlg,23,206
GeneticAlg,24,206
GeneticAlg,25,206
GeneticAlg,26,206
GeneticAlg,27,207
GeneticAlg,28,207
GeneticAlg,29,207
GeneticAlg,30,207
GeneticAlg,31,207
GeneticAlg,32,207
GeneticAlg,33,207
GeneticAlg,34,207
GeneticAlg,35,207
GeneticAlg,36,207
GeneticAlg,37,207
GeneticAlg,38,207
GeneticAlg,39,207
GeneticAlg,40,207
GeneticAlg,41,207
GeneticAlg,42,207
GeneticAlg,43,207
GeneticAlg,44,207
GeneticAlg,45,207
GeneticAlg,46,207
GeneticAlg,47,207
GeneticAlg,48,207
GeneticAlg,49,207
GeneticAlg,50,207
GeneticAlg,51,207
GeneticAlg,52,207
GeneticAlg,53,207
GeneticAlg,54,207
GeneticAlg,55,207
GeneticAlg,56,207
GeneticAlg,57,207
GeneticAlg,58,207
GeneticAlg,59,207
GeneticAlg,60,207
GeneticAlg,61,207
GeneticAlg,62,207
GeneticAlg,63,207
GeneticAlg,64,207
GeneticAlg,65,207
GeneticAlg,66,207
GeneticAlg,67,207
GeneticAlg,68,207
GeneticAlg,69,207
GeneticAlg,70,206
GeneticAlg,71,206
GeneticAlg,72,206
GeneticAlg,73,206
GeneticAlg,74,206
GeneticAlg,75,206
GeneticAlg,76,206
GeneticAlg,77,206
GeneticAlg,78,206
GeneticAlg,79,206
GeneticAlg,80,206
GeneticAlg,81,206
GeneticAlg,82,206
GeneticAlg,83,206
GeneticAlg,84,206
GeneticAlg,85,206
GeneticAlg,86,206
GeneticAlg,87,206
GeneticAlg,88,206
GeneticAlg,89,206
GeneticAlg,90,206
GeneticAlg,91,206
GeneticAlg,92,206
GeneticAlg,93,206
GeneticAlg,94,206
GeneticAlg,95,206
GeneticAlg,96,206
GeneticAlg,97,206
GeneticAlg,98,206
GeneticAlg,99,206
