Algorithm,Iteration,costValue
GeneticAlg,0,8398.20
GeneticAlg,1,8398.20
GeneticAlg,2,8398.20
GeneticAlg,3,8398.20
GeneticAlg,4,8398.20
GeneticAlg,5,8398.20
GeneticAlg,6,8398.20
GeneticAlg,7,8398.20
GeneticAlg,8,8398.20
GeneticAlg,9,8398.20
GeneticAlg,10,8398.20
GeneticAlg,11,8398.20
GeneticAlg,12,8398.20
GeneticAlg,13,8398.20
GeneticAlg,14,8398.20
GeneticAlg,15,8398.20
GeneticAlg,16,8398.20
GeneticAlg,17,8398.20
GeneticAlg,18,8398.20
GeneticAlg,19,8398.20
GeneticAlg,20,8398.20
GeneticAlg,21,8398.20
GeneticAlg,22,8398.20
GeneticAlg,23,8398.20
GeneticAlg,24,8398.20
GeneticAlg,25,8398.20
GeneticAlg,26,8398.20
GeneticAlg,27,8398.20
GeneticAlg,28,8398.20
GeneticAlg,29,8398.20
GeneticAlg,30,8398.20
GeneticAlg,31,8398.20
GeneticAlg,32,8398.20
GeneticAlg,33,8398.20
GeneticAlg,34,8398.20
GeneticAlg,35,8398.20
GeneticAlg,36,8398.20
GeneticAlg,37,8398.20
GeneticAlg,38,8398.20
GeneticAlg,39,8398.20
GeneticAlg,40,8398.20
GeneticAlg,41,8398.20
GeneticAlg,42,8398.20
GeneticAlg,43,8398.20
GeneticAlg,44,8398.20
GeneticAlg,45,8398.20
GeneticAlg,46,8398.20
GeneticAlg,47,8398.20
GeneticAlg,48,8398.20
GeneticAlg,49,8398.20
GeneticAlg,50,8398.20
GeneticAlg,51,8398.20
GeneticAlg,52,8398.20
GeneticAlg,53,8398.20
GeneticAlg,54,8398.20
GeneticAlg,55,8398.20
GeneticAlg,56,8398.20
GeneticAlg,57,8398.20
GeneticAlg,58,8398.20
GeneticAlg,59,8398.20
GeneticAlg,60,8398.20
GeneticAlg,61,8398.20
GeneticAlg,62,8398.20
GeneticAlg,63,8398.20
GeneticAlg,64,8398.20
GeneticAlg,65,8398.20
GeneticAlg,66,8398.20
GeneticAlg,67,8398.20
GeneticAlg,68,8398.20
GeneticAlg,69,8398.20
GeneticAlg,70,8398.20
GeneticAlg,71,8398.20
GeneticAlg,72,8398.20
GeneticAlg,73,8398.20
GeneticAlg,74,8398.20
GeneticAlg,75,8398.20
GeneticAlg,76,8398.20
GeneticAlg,77,8398.20
GeneticAlg,78,8398.20
GeneticAlg,79,8398.20
GeneticAlg,80,8398.20
GeneticAlg,81,8398.20
GeneticAlg,82,8398.20
GeneticAlg,83,8398.20
GeneticAlg,84,8398.20
GeneticAlg,85,8398.20
GeneticAlg,86,8398.20
GeneticAlg,87,8398.20
GeneticAlg,88,8398.20
GeneticAlg,89,8398.20
GeneticAlg,90,8398.20
GeneticAlg,91,8398.20
GeneticAlg,92,8398.20
GeneticAlg,93,8398.20
GeneticAlg,94,8398.20
GeneticAlg,95,8398.20
GeneticAlg,96,8398.20
GeneticAlg,97,8398.20
GeneticAlg,98,8398.20
GeneticAlg,99,8398.20
GeneticAlg,0,8434.40
GeneticAlg,1,8434.40
GeneticAlg,2,8434.40
GeneticAlg,3,8434.40
GeneticAlg,4,8434.40
GeneticAlg,5,8434.40
GeneticAlg,6,8434.40
GeneticAlg,7,8434.40
GeneticAlg,8,8434.40
GeneticAlg,9,8434.40
GeneticAlg,10,8434.40
GeneticAlg,11,8434.40
GeneticAlg,12,8434.40
GeneticAlg,13,8434.40
GeneticAlg,14,8434.40
GeneticAlg,15,8434.40
GeneticAlg,16,8434.40
GeneticAlg,17,8434.40
GeneticAlg,18,8434.40
GeneticAlg,19,8434.40
GeneticAlg,20,8434.40
GeneticAlg,21,8434.40
GeneticAlg,22,8434.40
GeneticAlg,23,8434.40
GeneticAlg,24,8434.40
GeneticAlg,25,8434.40
GeneticAlg,26,8434.40
GeneticAlg,27,8434.40
GeneticAlg,28,8434.40
GeneticAlg,29,8434.40
GeneticAlg,30,8434.40
GeneticAlg,31,8434.40
GeneticAlg,32,8434.40
GeneticAlg,33,8434.40
GeneticAlg,34,8434.40
GeneticAlg,35,8434.40
GeneticAlg,36,8434.40
GeneticAlg,37,8434.40
GeneticAlg,38,8434.40
GeneticAlg,39,8434.40
GeneticAlg,40,8434.40
GeneticAlg,41,8434.40
GeneticAlg,42,8434.40
GeneticAlg,43,8434.40
GeneticAlg,44,8434.40
GeneticAlg,45,8434.40
GeneticAlg,46,8434.40
GeneticAlg,47,8434.40
GeneticAlg,48,8434.40
GeneticAlg,49,8434.40
GeneticAlg,50,8434.40
GeneticAlg,51,8434.40
GeneticAlg,52,8434.40
GeneticAlg,53,8434.40
GeneticAlg,54,8434.40
GeneticAlg,55,8434.40
GeneticAlg,56,8434.40
GeneticAlg,57,8434.40
GeneticAlg,58,8434.40
GeneticAlg,59,8434.40
GeneticAlg,60,8434.40
GeneticAlg,61,8434.40
GeneticAlg,62,8434.40
GeneticAlg,63,8434.40
GeneticAlg,64,8434.40
GeneticAlg,65,8434.40
GeneticAlg,66,8434.40
GeneticAlg,67,8434.40
GeneticAlg,68,8434.40
GeneticAlg,69,8434.40
GeneticAlg,70,8434.40
GeneticAlg,71,8434.40
GeneticAlg,72,8434.40
GeneticAlg,73,8434.40
GeneticAlg,74,8434.40
GeneticAlg,75,8434.40
GeneticAlg,76,8434.40
GeneticAlg,77,8434.40
GeneticAlg,78,8434.40
GeneticAlg,79,8434.40
GeneticAlg,80,8434.40
GeneticAlg,81,8434.40
GeneticAlg,82,8434.40
GeneticAlg,83,8434.40
GeneticAlg,84,8434.40
GeneticAlg,85,8434.40
GeneticAlg,86,8434.40
GeneticAlg,87,8434.40
GeneticAlg,88,8434.40
GeneticAlg,89,8434.40
GeneticAlg,90,8434.40
GeneticAlg,91,8434.40
GeneticAlg,92,8434.40
GeneticAlg,93,8434.40
GeneticAlg,94,8434.40
GeneticAlg,95,8434.40
GeneticAlg,96,8434.40
GeneticAlg,97,8434.40
GeneticAlg,98,8434.40
GeneticAlg,99,8434.40
GeneticAlg,0,8421.40
GeneticAlg,1,8421.40
GeneticAlg,2,8421.40
GeneticAlg,3,8421.40
GeneticAlg,4,8421.40
GeneticAlg,5,8421.40
GeneticAlg,6,8421.40
GeneticAlg,7,8421.40
GeneticAlg,8,8421.40
GeneticAlg,9,8421.40
GeneticAlg,10,8421.40
GeneticAlg,11,8421.40
GeneticAlg,12,8421.40
GeneticAlg,13,8417.20
GeneticAlg,14,8417.20
GeneticAlg,15,8417.20
GeneticAlg,16,8417.20
GeneticAlg,17,8417.20
GeneticAlg,18,8417.20
GeneticAlg,19,8417.20
GeneticAlg,20,8417.20
GeneticAlg,21,8417.20
GeneticAlg,22,8417.20
GeneticAlg,23,8417.20
GeneticAlg,24,8417.20
GeneticAlg,25,8417.20
GeneticAlg,26,8417.20
GeneticAlg,27,8417.20
GeneticAlg,28,8417.20
GeneticAlg,29,8417.20
GeneticAlg,30,8417.20
GeneticAlg,31,8417.20
GeneticAlg,32,8417.20
GeneticAlg,33,8417.20
GeneticAlg,34,8417.20
GeneticAlg,35,8417.20
GeneticAlg,36,8417.20
GeneticAlg,37,8417.20
GeneticAlg,38,8417.20
GeneticAlg,39,8417.20
GeneticAlg,40,8417.20
GeneticAlg,41,8417.20
GeneticAlg,42,8417.20
GeneticAlg,43,8417.20
GeneticAlg,44,8417.20
GeneticAlg,45,8417.20
GeneticAlg,46,8417.20
GeneticAlg,47,8417.20
GeneticAlg,48,8417.20
GeneticAlg,49,8417.20
GeneticAlg,50,8417.20
GeneticAlg,51,8417.20
GeneticAlg,52,8417.20
GeneticAlg,53,8417.20
