Algorithm,Iteration,TotalConstraintViolations
AntColonyAlg,0,962
AntColonyAlg,1,962
AntColonyAlg,2,962
AntColonyAlg,3,962
AntColonyAlg,4,962
AntColonyAlg,5,962
AntColonyAlg,6,962
AntColonyAlg,7,962
AntColonyAlg,8,962
AntColonyAlg,9,962
AntColonyAlg,10,962
AntColonyAlg,11,962
AntColonyAlg,12,953
AntColonyAlg,13,953
AntColonyAlg,14,953
AntColonyAlg,15,953
AntColonyAlg,16,966
AntColonyAlg,17,966
AntColonyAlg,18,966
AntColonyAlg,19,966
AntColonyAlg,20,966
AntColonyAlg,21,966
AntColonyAlg,22,966
AntColonyAlg,23,966
AntColonyAlg,24,966
AntColonyAlg,25,966
AntColonyAlg,26,966
AntColonyAlg,27,966
AntColonyAlg,28,966
AntColonyAlg,29,966
AntColonyAlg,30,966
AntColonyAlg,31,966
AntColonyAlg,32,966
AntColonyAlg,33,955
AntColonyAlg,34,955
AntColonyAlg,35,955
AntColonyAlg,36,955
AntColonyAlg,37,955
AntColonyAlg,38,955
AntColonyAlg,39,955
AntColonyAlg,40,955
AntColonyAlg,41,955
AntColonyAlg,42,955
AntColonyAlg,43,955
AntColonyAlg,44,955
AntColonyAlg,45,955
AntColonyAlg,46,955
AntColonyAlg,47,955
AntColonyAlg,48,955
AntColonyAlg,49,955
AntColonyAlg,50,955
AntColonyAlg,51,955
AntColonyAlg,52,955
AntColonyAlg,53,955
AntColonyAlg,54,955
AntColonyAlg,55,955
AntColonyAlg,56,955
AntColonyAlg,57,955
AntColonyAlg,58,955
AntColonyAlg,59,955
AntColonyAlg,60,955
AntColonyAlg,61,955
AntColonyAlg,62,955
AntColonyAlg,63,955
AntColonyAlg,64,955
AntColonyAlg,65,955
AntColonyAlg,66,955
AntColonyAlg,67,955
AntColonyAlg,68,955
AntColonyAlg,69,955
AntColonyAlg,70,955
AntColonyAlg,71,955
AntColonyAlg,72,955
AntColonyAlg,73,955
AntColonyAlg,74,955
AntColonyAlg,75,955
AntColonyAlg,76,955
AntColonyAlg,77,955
AntColonyAlg,78,955
AntColonyAlg,79,955
AntColonyAlg,80,955
AntColonyAlg,81,955
AntColonyAlg,82,955
AntColonyAlg,83,955
AntColonyAlg,84,955
AntColonyAlg,85,955
AntColonyAlg,86,955
AntColonyAlg,87,955
AntColonyAlg,88,955
AntColonyAlg,89,955
AntColonyAlg,90,955
AntColonyAlg,91,955
AntColonyAlg,92,955
AntColonyAlg,93,955
AntColonyAlg,94,955
AntColonyAlg,95,955
AntColonyAlg,96,955
AntColonyAlg,97,955
AntColonyAlg,98,955
AntColonyAlg,99,955
